"Row_ID","Order_ID","Order_Date","Ship_Date","Ship_Mode","Customer_ID","Customer_Name","Segment","Country","City","State","Postal_Code","Region","Product_ID","Category","Sub_Category","Product_Name","Sales","Quantity","Discount","Profit","Date_String"
2718,"CA-2017-100006",2017-09-07,2017-09-13,"Standard Class","DK-13375","Dennis Kane","Consumer","United States","New York City","New York",10024,"East","TEC-PH-10002075","Technology","Phones","AT&T EL51110 DECT",1737,3,2,42,"13-Sep-17"
6288,"CA-2017-100090",2017-07-08,2017-07-12,"Standard Class","EB-13705","Ed Braxton","Corporate","United States","San Francisco","California",94122,"West","FUR-TA-10003715","Furniture","Tables","Hon 2111 Invitation Series Corner Table",2136,3,5,738,"12-Jul-17"
6289,"CA-2017-100090",2017-07-08,2017-07-12,"Standard Class","EB-13705","Ed Braxton","Corporate","United States","San Francisco","California",94122,"West","OFF-BI-10001597","Office Supplies","Binders","Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",888,6,5,393,"12-Jul-17"
9515,"CA-2017-100293",2017-03-14,2017-03-18,"Standard Class","NF-18475","Neil Französisch","Home Office","United States","Jacksonville","Florida",32216,"South","OFF-PA-10000176","Office Supplies","Paper","Xerox 1887",2945,6,5,243,"18-Mar-17"
3084,"CA-2017-100328",2017-01-28,2017-02-03,"Standard Class","JC-15340","Jasper Cacioppo","Consumer","United States","New York City","New York",10024,"East","OFF-BI-10000343","Office Supplies","Binders","Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",1455,1,5,3,"3-Feb-17"
3836,"CA-2017-100363",2017-04-08,2017-04-15,"Standard Class","JM-15655","Jim Mitchum","Corporate","United States","Glendale","Arizona",85301,"West","OFF-FA-10000611","Office Supplies","Fasteners","Binder Clips by OIC",975,2,5,3,"15-Apr-17"
9441,"CA-2017-100391",2017-05-25,2017-05-29,"Standard Class","BW-11065","Barry Weirich","Consumer","United States","New York City","New York",10035,"East","OFF-PA-10001471","Office Supplies","Paper","Strathmore Photo Frame Cards",572,2,2,395,"29-May-17"
6572,"CA-2017-100678",2017-04-18,2017-04-22,"Standard Class","KM-16720","Kunst Miller","Consumer","United States","Houston","Texas",77095,"Central","TEC-AC-10000474","Technology","Accessories","Kensington Expert Mouse Optical USB Trackball for PC or Mac",1121,3,5,206,"22-Apr-17"
6569,"CA-2017-100678",2017-04-18,2017-04-22,"Standard Class","KM-16720","Kunst Miller","Consumer","United States","Houston","Texas",77095,"Central","OFF-AR-10001868","Office Supplies","Art","Prang Dustless Chalk Sticks",978,2,5,3,"22-Apr-17"
6570,"CA-2017-100678",2017-04-18,2017-04-22,"Standard Class","KM-16720","Kunst Miller","Consumer","United States","Houston","Texas",77095,"Central","FUR-CH-10002602","Furniture","Chairs","DMI Arturo Collection Mission-style Design Wood Chair",1528,3,6,539,"22-Apr-17"
9020,"CA-2017-100706",2017-12-16,2017-12-18,"Second Class","LE-16810","Laurel Elliston","Consumer","United States","Springfield","Virginia",22153,"South","TEC-AC-10001314","Technology","Accessories","Case Logic 2.4GHz Wireless Keyboard",294,2,2,422,"18-Dec-17"
